RAW_X,RAW_Y,TRUE_X,TRUE_Y
-176.9826640990819,-277.49775864530585,0.0,0.0
-172.24636780582347,-276.598839053073,0.0,0.0
-172.60610009271642,-276.90065220422434,0.0,0.0
-171.72463680197382,-276.43676216094286,0.0,0.0
-172.9437976073223,-276.6984908576528,0.0,0.0
-173.23764239446515,-276.71044240378836,0.0,0.0
-175.5329325559755,-277.15863392451587,0.0,0.0
-174.57866361407866,-277.2552305856029,0.0,0.0
-176.17068095969188,-277.0961672077444,0.0,0.0
-177.78943258380093,-277.38738777124485,0.0,0.0
-176.23636823740213,-277.2222251648035,0.0,0.0
-175.99727464239817,-277.10212527282835,0.0,0.0
-173.29088646582574,-276.7781179740309,0.0,0.0
-173.3699186890048,-276.6157420062043,0.0,0.0
-172.037315013685,-276.4290356940416,0.0,0.0
-174.65906898509405,-276.8792169396771,0.0,0.0
-172.50217125219962,-276.81797992368024,0.0,0.0
-175.34682045397278,-277.23734643899957,0.0,0.0
-174.8385299699355,-276.70239624042983,0.0,0.0
-174.48402783494876,-276.7248087514427,0.0,0.0
-173.61948938594762,-276.63569517388083,0.0,0.0
-175.8486466191904,-277.2607434783523,0.0,0.0
-175.3886256503854,-277.0755388404462,0.0,0.0
-175.5853587048904,-277.36047537591645,0.0,0.0
-174.70450454270207,-276.58389191335675,0.0,0.0
-174.43668443671768,-277.1053181993067,0.0,0.0
-174.61813459270977,-276.9976667838063,0.0,0.0
-173.95887877574893,-276.8610412202985,0.0,0.0
-176.39878349194714,-277.1340294451446,0.0,0.0
-175.02799888691112,-277.1035521944417,0.0,0.0
-173.51398637709664,-276.84152355824597,0.0,0.0
-179.950215822497,-277.8689148169347,0.0,0.0
-174.31674103141128,-276.8096307056503,0.0,0.0
-175.20856883087137,-276.7692021526771,0.0,0.0
-172.75919519768854,-276.32954351185737,0.0,0.0
-176.14768432441196,-276.95560189874146,0.0,0.0
-174.34635376308873,-276.87986150707144,0.0,0.0
-176.62674461626233,-277.24562748099464,0.0,0.0
-175.63437925654853,-277.01899422293826,0.0,0.0
-172.06489568042977,-276.3348407359415,0.0,0.0
-176.17220973828935,-277.3236166238339,0.0,0.0
-170.93011978924673,-275.8781345307862,0.0,0.0
-175.36478390573848,-277.13781260171265,0.0,0.0
-174.20753927764005,-276.59022167372257,0.0,0.0
-175.7738597154055,-276.91429727956034,0.0,0.0
-172.80686017514523,-276.16118840247725,0.0,0.0
-171.7036138790723,-276.1034047490319,0.0,0.0
-172.85769370188183,-276.56273377069766,0.0,0.0
-176.45665102448578,-277.2370348678031,0.0,0.0
-175.67732383952622,-277.19167280833153,0.0,0.0
-175.77139538678875,-277.27608447068565,0.0,0.0
-174.04218639185805,-276.528285718882,0.0,0.0
-175.42228447301318,-276.8596619212917,0.0,0.0
-174.48368664082568,-276.8250733884015,0.0,0.0
-175.8697464912752,-277.1868796925811,0.0,0.0
-173.22269526910966,-276.86779158214694,0.0,0.0
-174.5752932642372,-277.0204142902329,0.0,0.0
-176.06624164972925,-288.6078148854716,0.0,0.0
-180.44421770906706,-289.4029481788698,0.0,0.0
-175.8465470893515,-288.4072539667689,0.0,0.0
-177.21673877937067,-288.6785597602656,0.0,0.0
-178.409242304451,-289.1624978142374,0.0,0.0
-175.29003451154614,-288.5446787095108,0.0,0.0
-176.44604676307813,-288.7170292360662,0.0,0.0
-177.3700917739643,-288.83931514721564,0.0,0.0
-176.19651911093823,-288.64625566563535,0.0,0.0
-176.41165638527693,-288.23652481896903,0.0,0.0
-176.50109567184927,-288.44693014436996,0.0,0.0
-175.60571764968194,-288.43322516894546,0.0,0.0
-176.11357157382633,-288.2311921547056,0.0,0.0
-176.19263816524904,-288.4072157923636,0.0,0.0
-175.6117325153482,-288.63680033004545,0.0,0.0
